user_id,course_id,status,enrollment_date
1,39,active,2026-01-13
1,11,active,2026-01-31
1,35,inactive,2026-01-08
2,60,inactive,2026-01-26
2,2,active,2026-01-04
2,57,active,2026-01-13
2,111,inactive,2026-01-08
3,76,active,2026-01-15
4,54,inactive,2026-01-10
4,75,active,2026-01-02
4,86,inactive,2026-01-19
4,65,active,2026-01-29
4,12,active,2026-01-25
4,32,active,2026-01-21
5,76,active,2026-01-27
5,104,inactive,2026-01-05
5,114,inactive,2026-01-09
5,90,inactive,2026-01-13
5,63,active,2026-01-07
5,71,active,2026-01-23
6,101,inactive,2026-01-30
6,100,active,2026-01-26
6,85,inactive,2026-01-19
6,81,inactive,2026-01-02
6,43,inactive,2026-01-17
7,5,inactive,2026-01-09
8,96,inactive,2026-01-25
8,120,inactive,2026-01-15
8,83,inactive,2026-01-15
8,34,inactive,2026-01-30
8,85,active,2026-01-23
8,36,active,2026-01-26
9,32,active,2026-01-07
10,27,inactive,2026-01-07
10,64,inactive,2026-01-24
11,62,active,2026-01-27
11,102,active,2026-01-06
11,6,inactive,2026-01-03
11,81,active,2026-01-15
12,3,inactive,2026-01-24
13,65,active,2026-01-25
13,12,active,2026-01-19
13,53,inactive,2026-01-08
13,30,inactive,2026-01-10
14,63,active,2026-01-11
14,54,active,2026-01-20
14,51,inactive,2026-01-07
14,8,active,2026-01-11
14,83,active,2026-01-01
14,113,active,2026-01-27
15,110,inactive,2026-01-28
16,90,active,2026-01-19
16,64,inactive,2026-01-19
16,48,inactive,2026-01-01
16,108,inactive,2026-01-21
17,53,inactive,2026-01-18
17,80,inactive,2026-01-04
17,9,inactive,2026-01-04
18,85,inactive,2026-01-26
18,14,active,2026-01-04
18,64,inactive,2026-01-28
18,94,inactive,2026-01-02
19,113,active,2026-01-27
19,54,inactive,2026-01-29
19,86,active,2026-01-12
19,77,inactive,2026-01-13
19,36,active,2026-01-10
20,98,active,2026-01-30
20,78,inactive,2026-01-30
20,79,active,2026-01-14
20,7,inactive,2026-01-29
20,43,active,2026-01-20
20,40,inactive,2026-01-10
21,116,active,2026-01-05
21,69,inactive,2026-01-23
21,6,active,2026-01-25
21,91,active,2026-01-01
21,38,active,2026-01-26
21,86,inactive,2026-01-08
22,49,inactive,2026-01-20
22,108,active,2026-01-31
22,29,active,2026-01-08
22,96,inactive,2026-01-17
