user_id,lesson_id,activity_type,activity_timestamp
784,288,view,2026-01-07 00:00:00
704,33,view,2026-01-04 00:00:00
1566,27,complete,2026-02-02 00:00:00
1687,594,view,2026-02-12 00:00:00
1030,189,complete,2026-01-18 00:00:00
212,576,view,2026-02-13 00:00:00
260,485,complete,2026-01-23 00:00:00
400,626,view,2026-02-24 00:00:00
735,510,view,2026-01-26 00:00:00
838,663,complete,2026-01-07 00:00:00
525,185,complete,2026-01-07 00:00:00
1587,637,complete,2026-01-12 00:00:00
654,154,view,2026-02-18 00:00:00
678,607,complete,2026-02-08 00:00:00
152,67,complete,2026-02-24 00:00:00
1513,525,complete,2026-02-23 00:00:00
711,574,view,2026-01-04 00:00:00
963,399,complete,2026-02-21 00:00:00
272,306,view,2026-01-19 00:00:00
485,68,view,2026-01-06 00:00:00
722,429,view,2026-01-03 00:00:00
1089,187,view,2026-01-22 00:00:00
921,221,view,2026-01-06 00:00:00
474,463,view,2026-01-13 00:00:00
1113,663,view,2026-02-21 00:00:00
1694,365,view,2026-01-02 00:00:00
203,375,view,2026-01-14 00:00:00
595,493,complete,2026-01-20 00:00:00
707,425,complete,2026-02-23 00:00:00
1327,408,view,2026-01-06 00:00:00
1072,533,complete,2026-01-04 00:00:00
329,99,view,2026-02-22 00:00:00
1004,240,view,2026-01-11 00:00:00
1524,121,view,2026-02-13 00:00:00
488,61,view,2026-01-08 00:00:00
1180,599,complete,2026-02-06 00:00:00
274,610,complete,2026-03-02 00:00:00
1729,663,complete,2026-01-30 00:00:00
317,450,complete,2026-02-27 00:00:00
1573,678,view,2026-01-29 00:00:00
119,12,complete,2026-02-04 00:00:00
465,421,view,2026-01-23 00:00:00
839,656,complete,2026-02-22 00:00:00
1661,329,view,2026-02-26 00:00:00
589,139,view,2026-01-18 00:00:00
78,597,complete,2026-01-04 00:00:00
115,300,complete,2026-01-26 00:00:00
37,413,view,2026-01-18 00:00:00
403,24,view,2026-02-01 00:00:00
397,183,view,2026-01-28 00:00:00
40,480,complete,2026-01-07 00:00:00
928,199,view,2026-01-09 00:00:00
646,616,complete,2026-01-26 00:00:00
246,631,complete,2026-01-23 00:00:00
1379,126,view,2026-02-04 00:00:00
1732,651,view,2026-02-27 00:00:00
987,375,view,2026-02-16 00:00:00
663,256,view,2026-01-28 00:00:00
713,526,view,2026-03-02 00:00:00
1358,540,complete,2026-01-11 00:00:00
390,574,view,2026-01-24 00:00:00
846,583,view,2026-02-09 00:00:00
324,419,view,2026-02-18 00:00:00
686,657,view,2026-01-18 00:00:00
368,534,complete,2026-01-02 00:00:00
788,295,complete,2026-02-26 00:00:00
180,124,view,2026-01-13 00:00:00
1703,529,complete,2026-02-13 00:00:00
719,218,complete,2026-02-03 00:00:00
